,State,Service,Price,DateTime
0,NSW1,ENERGY,101.22664171011347,2017/05/01 00:05:00
1,QLD1,ENERGY,94.06055307612057,2017/05/01 00:05:00
2,SA1,ENERGY,117.16482919707967,2017/05/01 00:05:00
3,TAS1,ENERGY,98.33548863399294,2017/05/01 00:05:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:05:00
0,NSW1,ENERGY,102.97952554744381,2017/05/01 00:10:00
1,QLD1,ENERGY,94.9446746611018,2017/05/01 00:10:00
2,SA1,ENERGY,117.87519833159381,2017/05/01 00:10:00
3,TAS1,ENERGY,98.36548863399021,2017/05/01 00:10:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:10:00
0,NSW1,ENERGY,105.96454640250262,2017/05/01 00:15:00
1,QLD1,ENERGY,98.39872017518253,2017/05/01 00:15:00
2,SA1,ENERGY,118.11812885922842,2017/05/01 00:15:00
3,TAS1,ENERGY,99.5968067028154,2017/05/01 00:15:00
4,VIC1,ENERGY,97.21722607924913,2017/05/01 00:15:00
0,NSW1,ENERGY,105.70580709071581,2017/05/01 00:20:00
1,QLD1,ENERGY,97.38488863398993,2017/05/01 00:20:00
2,SA1,ENERGY,115.53194014598486,2017/05/01 00:20:00
3,TAS1,ENERGY,98.36548863399021,2017/05/01 00:20:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:20:00
0,NSW1,ENERGY,106.73104254431678,2017/05/01 00:25:00
1,QLD1,ENERGY,98.89106319082603,2017/05/01 00:25:00
2,SA1,ENERGY,115.37450698644827,2017/05/01 00:25:00
3,TAS1,ENERGY,98.34644859228314,2017/05/01 00:25:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:25:00
0,NSW1,ENERGY,105.96456229718454,2017/05/01 00:30:00
1,QLD1,ENERGY,97.55431339464023,2017/05/01 00:30:00
2,SA1,ENERGY,114.75725380604982,2017/05/01 00:30:00
3,TAS1,ENERGY,98.36548863399567,2017/05/01 00:30:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:30:00
0,NSW1,ENERGY,106.79727966632079,2017/05/01 00:35:00
1,QLD1,ENERGY,99.02641730969644,2017/05/01 00:35:00
2,SA1,ENERGY,114.11600166840479,2017/05/01 00:35:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 00:35:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:35:00
0,NSW1,ENERGY,107.82827486965745,2017/05/01 00:40:00
1,QLD1,ENERGY,100.06509217935462,2017/05/01 00:40:00
2,SA1,ENERGY,113.47282961417939,2017/05/01 00:40:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 00:40:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:40:00
0,NSW1,ENERGY,105.87600529630392,2017/05/01 00:45:00
1,QLD1,ENERGY,98.92628536031384,2017/05/01 00:45:00
2,SA1,ENERGY,112.79845891553646,2017/05/01 00:45:00
3,TAS1,ENERGY,223.5811215897644,2017/05/01 00:45:00
4,VIC1,ENERGY,95.99630896767482,2017/05/01 00:45:00
0,NSW1,ENERGY,106.69263188932476,2017/05/01 00:50:00
1,QLD1,ENERGY,98.92628832810239,2017/05/01 00:50:00
2,SA1,ENERGY,111.7889667778935,2017/05/01 00:50:00
3,TAS1,ENERGY,223.58112158976436,2017/05/01 00:50:00
4,VIC1,ENERGY,95.99582898852972,2017/05/01 00:50:00
0,NSW1,ENERGY,105.96452520959328,2017/05/01 00:55:00
1,QLD1,ENERGY,98.19181380187692,2017/05/01 00:55:00
2,SA1,ENERGY,109.68896708654839,2017/05/01 00:55:00
3,TAS1,ENERGY,223.58112158976434,2017/05/01 00:55:00
4,VIC1,ENERGY,94.88858099687181,2017/05/01 00:55:00
0,NSW1,ENERGY,102.43265859324336,2017/05/01 01:00:00
1,QLD1,ENERGY,94.9377680158979,2017/05/01 01:00:00
2,SA1,ENERGY,103.86169035874909,2017/05/01 01:00:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 01:00:00
4,VIC1,ENERGY,90.87928286476308,2017/05/01 01:00:00
0,NSW1,ENERGY,105.0035522175987,2017/05/01 01:05:00
1,QLD1,ENERGY,98.39771391865743,2017/05/01 01:05:00
2,SA1,ENERGY,105.80493932812351,2017/05/01 01:05:00
